Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 120756 facts in 0.96 s using 180 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  http://dbpedia.org/ontology/secondCommander  ?b   => ?a  http://dbpedia.org/ontology/commander  ?b	0.024590164	0.6	0.6	3	5	5	?b
?b  http://dbpedia.org/ontology/battle  ?a   => ?a  http://dbpedia.org/ontology/commander  ?b	0.131147541	0.125984252	0.380952381	16	127	42	?b
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/commander  ?b	0.032786885	0.001449801	0.2	4	2759	20	?b
?a  http://dbpedia.org/ontology/battle  ?b   => ?a  http://dbpedia.org/ontology/commander  ?b	0.016393443	0.015748031	0.142857143	2	127	14	?b
?b  http://dbpedia.org/ontology/spokenIn  ?a   => ?a  http://dbpedia.org/ontology/officialLanguage  ?b	0.178807947	0.137055838	0.3	27	197	90	?a
?a  http://dbpedia.org/ontology/place  ?b   => ?a  http://dbpedia.org/ontology/commander  ?b	0.016393443	0.021978022	0.666666667	2	91	3	?b
?b  http://dbpedia.org/ontology/languageFamily  ?a   => ?a  http://dbpedia.org/ontology/officialLanguage  ?b	0.046357616	0.120689655	0.411764706	7	58	17	?a
?a  http://dbpedia.org/ontology/timeZone  ?b   => ?a  http://dbpedia.org/ontology/officialLanguage  ?b	0.086092715	0.012287335	0.191176471	13	1058	68	?a
?a  http://dbpedia.org/ontology/ethnicGroup  ?b   => ?a  http://dbpedia.org/ontology/officialLanguage  ?b	0.105960265	0.150943396	0.275862069	16	106	58	?a
?a  http://dbpedia.org/ontology/language  ?b   => ?a  http://dbpedia.org/ontology/officialLanguage  ?b	0.78807947	0.188291139	0.777777778	119	632	153	?a
?a  http://dbpedia.org/ontology/regionalLanguage  ?b   => ?a  http://dbpedia.org/ontology/officialLanguage  ?b	0.046357616	0.35	0.388888889	7	20	18	?a
?a  http://dbpedia.org/ontology/cinematography  ?b   => ?a  http://dbpedia.org/ontology/editing  ?b	0.504922644	0.408418658	0.806741573	359	879	445	?a
?a  http://dbpedia.org/ontology/musicComposer  ?b   => ?a  http://dbpedia.org/ontology/editing  ?b	0.398030942	0.244386874	0.578732106	283	1158	489	?a
?a  http://dbpedia.org/ontology/writer  ?b   => ?a  http://dbpedia.org/ontology/producer  ?b	0.14683153	0.238993711	0.375494071	190	795	506	?a
?a  http://dbpedia.org/ontology/director  ?b   => ?a  http://dbpedia.org/ontology/producer  ?b	0.251931994	0.321182266	0.560137457	326	1015	582	?a
?a  http://dbpedia.org/ontology/activeYearsStartYear  ?b   => ?a  http://dbpedia.org/ontology/activeYearsEndYear  ?b	0.197206245	0.059303188	0.183346066	240	4047	1309	?a
?a  http://dbpedia.org/ontology/deathYear  ?b   => ?a  http://dbpedia.org/ontology/activeYearsEndYear  ?b	0.225965489	0.327771156	0.472508591	275	839	582	?a
?a  http://dbpedia.org/ontology/activeYearsEndYear  ?b   => ?a  http://dbpedia.org/ontology/activeYearsStartYear  ?b	0.059303188	0.197206245	0.197206245	240	1217	1217	?a
?b  http://dbpedia.org/ontology/director  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.033802817	0.01182266	0.272727273	12	1015	44	?a
?b  http://dbpedia.org/ontology/starring  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.061971831	0.004035216	0.106796117	22	5452	206	?a
?b  http://dbpedia.org/ontology/producer  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.028169014	0.007727975	0.149253731	10	1294	67	?a
?b  http://dbpedia.org/ontology/parent  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.014084507	0.064102564	0.5	5	78	10	?a
?b  http://dbpedia.org/ontology/cinematography  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.050704225	0.020477816	0.18556701	18	879	97	?a
?b  http://dbpedia.org/ontology/editing  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.01971831	0.009845288	0.114754098	7	711	61	?a
?b  http://dbpedia.org/ontology/writer  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.028169014	0.012578616	0.2	10	795	50	?a
?b  http://dbpedia.org/ontology/spouse  ?a   => ?a  http://dbpedia.org/ontology/award  ?b	0.011267606	0.011049724	0.266666667	4	362	15	?a
?a  http://dbpedia.org/ontology/relative  ?b   => ?a  http://dbpedia.org/ontology/award  ?b	0.016901408	0.039735099	0.75	6	151	8	?a
?a  http://dbpedia.org/ontology/almaMater  ?b   => ?a  http://dbpedia.org/ontology/award  ?b	0.016901408	0.007672634	0.12244898	6	782	49	?a
?a  http://dbpedia.org/ontology/ethnicity  ?b   => ?a  http://dbpedia.org/ontology/award  ?b	0.011267606	0.083333333	0.5	4	48	8	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/award  ?b	0.011267606	0.001449801	0.2	4	2759	20	?a
?a  http://dbpedia.org/ontology/spouse  ?b   => ?a  http://dbpedia.org/ontology/award  ?b	0.011267606	0.011049724	0.307692308	4	362	13	?a
?a  http://dbpedia.org/ontology/religion  ?b   => ?a  http://dbpedia.org/ontology/award  ?b	0.011267606	0.010989011	0.25	4	364	16	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/ground  ?b	0.035353535	0.002537151	0.4375	7	2759	16	?a
?a  http://dbpedia.org/ontology/position  ?b   => ?a  http://dbpedia.org/ontology/ground  ?b	0.161616162	0.150234742	0.820512821	32	213	39	?a
?a  http://dbpedia.org/ontology/league  ?b   => ?a  http://dbpedia.org/ontology/ground  ?b	0.237373737	0.274853801	0.839285714	47	171	56	?a
?a  http://dbpedia.org/ontology/daylightSavingTimeZone  ?b   => ?a  http://dbpedia.org/ontology/timeZone  ?b	0.016068053	0.708333333	1	17	24	17	?a
?a  http://dbpedia.org/ontology/officialLanguage  ?b   => ?a  http://dbpedia.org/ontology/timeZone  ?b	0.012287335	0.086092715	0.1625	13	151	80	?a
?a  http://dbpedia.org/ontology/language  ?b   => ?a  http://dbpedia.org/ontology/timeZone  ?b	0.017958412	0.030063291	0.157024793	19	632	121	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/timeZone  ?b	0.237240076	0.090974991	0.292540793	251	2759	858	?a
?a  http://dbpedia.org/ontology/governmentType  ?b   => ?a  http://dbpedia.org/ontology/timeZone  ?b	0.054820416	0.096666667	0.143564356	58	600	404	?a
?a  http://dbpedia.org/ontology/timeZone  ?b   => ?a  http://dbpedia.org/ontology/governmentType  ?b	0.096666667	0.054820416	0.149870801	58	1058	387	?a
?a  http://dbpedia.org/ontology/currency  ?b   => ?a  http://dbpedia.org/ontology/governmentType  ?b	0.03	0.3	0.428571429	18	60	42	?a
?a  http://dbpedia.org/ontology/leaderName  ?b   => ?a  http://dbpedia.org/ontology/governmentType  ?b	0.083333333	0.314465409	0.961538462	50	159	52	?a
?a  http://www.w3.org/2002/07/owl%23differentFrom  ?b   => ?a  http://dbpedia.org/ontology/governmentType  ?b	0.021666667	0.046428571	0.464285714	13	280	28	?a
?a  http://dbpedia.org/ontology/language  ?b   => ?a  http://dbpedia.org/ontology/ethnicGroup  ?b	0.216981132	0.036392405	0.343283582	23	632	67	?a
?a  http://dbpedia.org/ontology/timeZone  ?b   => ?a  http://dbpedia.org/ontology/ethnicGroup  ?b	0.056603774	0.005671078	0.214285714	6	1058	28	?a
?a  http://dbpedia.org/ontology/officialLanguage  ?b   => ?a  http://dbpedia.org/ontology/ethnicGroup  ?b	0.150943396	0.105960265	0.41025641	16	151	39	?a
?a  http://dbpedia.org/ontology/birthPlace  ?b   => ?a  http://dbpedia.org/ontology/hometown  ?b	0.077619664	0.012430081	0.164383562	60	4827	365	?a
?a  http://dbpedia.org/ontology/deathPlace  ?b   => ?a  http://dbpedia.org/ontology/hometown  ?b	0.01164295	0.007142857	0.138461538	9	1260	65	?a
?a  http://dbpedia.org/ontology/broadcastArea  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.0546875	0.304347826	0.7	7	23	10	?a
?a  http://dbpedia.org/ontology/owningCompany  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.03125	0.031496063	0.102564103	4	127	39	?a
?a  http://dbpedia.org/ontology/foundationPlace  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.1171875	0.141509434	0.3125	15	106	48	?a
?a  http://dbpedia.org/ontology/regionServed  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.03125	0.050632911	0.16	4	79	25	?a
?a  http://dbpedia.org/ontology/industry  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.0859375	0.038596491	0.164179104	11	285	67	?a
?a  http://dbpedia.org/ontology/country  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.25	0.013757524	0.888888889	32	2326	36	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/locationCountry  ?b	0.015625	0.0007249	0.142857143	2	2759	14	?a
?b  http://dbpedia.org/ontology/employer  ?a   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.015151515	0.166666667	0.666666667	2	12	3	?a
?a  http://dbpedia.org/ontology/owner  ?b   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.022727273	0.033707865	0.176470588	3	89	17	?a
?a  http://dbpedia.org/ontology/foundationPlace  ?b   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.015151515	0.018867925	0.105263158	2	106	19	?a
?a  http://dbpedia.org/ontology/foundedBy  ?b   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.022727273	0.044776119	0.272727273	3	67	11	?a
?a  http://dbpedia.org/ontology/owningCompany  ?b   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.037878788	0.039370079	0.227272727	5	127	22	?a
?b  http://dbpedia.org/ontology/keyPerson  ?a   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.037878788	0.037878788	0.833333333	5	132	6	?a
?a  http://dbpedia.org/ontology/industry  ?b   => ?a  http://dbpedia.org/ontology/keyPerson  ?b	0.121212121	0.056140351	0.216216216	16	285	74	?a
?b  http://dbpedia.org/ontology/associatedMusicalArtist  ?a   => ?a  http://dbpedia.org/ontology/bandMember  ?b	0.346153846	0.027157514	0.206422018	45	1657	218	?b
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/bandMember  ?b	0.023076923	0.00108735	0.25	3	2759	12	?b
?b  http://dbpedia.org/ontology/associatedBand  ?a   => ?a  http://dbpedia.org/ontology/bandMember  ?b	0.338461538	0.024760833	0.194690265	44	1777	226	?b
?a  http://dbpedia.org/ontology/formerBandMember  ?b   => ?a  http://dbpedia.org/ontology/bandMember  ?b	0.038461538	0.025906736	0.106382979	5	193	47	?b
?a  http://dbpedia.org/ontology/instrument  ?b   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.038266742	0.035472092	0.113522538	68	1917	599	?a
?b  http://dbpedia.org/ontology/formerBandMember  ?a   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.024760833	0.227979275	0.297297297	44	193	148	?a
?b  http://dbpedia.org/ontology/bandMember  ?a   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.024760833	0.338461538	0.453608247	44	130	97	?a
?a  http://dbpedia.org/ontology/recordLabel  ?b   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.079909961	0.072191154	0.108396947	142	1967	1310	?a
?b  http://dbpedia.org/ontology/associatedBand  ?a   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.122678672	0.122678672	0.225439504	218	1777	967	?a
?b  http://dbpedia.org/ontology/associatedMusicalArtist  ?a   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.123804164	0.132770066	0.227507756	220	1657	967	?a
?a  http://dbpedia.org/ontology/associatedMusicalArtist  ?b   => ?a  http://dbpedia.org/ontology/associatedBand  ?b	0.793472144	0.850935425	0.867692308	1410	1657	1625	?a
?a  http://dbpedia.org/ontology/residence  ?b   => ?a  http://dbpedia.org/ontology/nationality  ?b	0.029090909	0.01509434	0.137931034	8	530	58	?a
